Wall time,Step,Value
1702010033.016866,100,0.028341472148895264
1702010107.584388,200,0.028355570510029793
1702010181.387126,300,0.02837909571826458
1702010255.321371,400,0.028417982161045074
1702010330.555568,500,0.028486857190728188
1702010409.064623,600,0.028578506782650948
1702010540.592395,700,0.028692513704299927
1702010615.183554,800,0.02884877845644951
1702010689.728717,900,0.029029037803411484
1702010763.664086,1000,0.029167063534259796
1702010900.330838,1100,0.02933877892792225
1702010974.320854,1200,0.02951309084892273
1702011048.91163,1300,0.02965320274233818
1702011123.577572,1400,0.02986588329076767
1702011198.527833,1500,0.0301262978464365
1702011273.176974,1600,0.03031092695891857
1702011347.277899,1700,0.03057512454688549
1702011421.938363,1800,0.03081774152815342
1702011497.102092,1900,0.03114968165755272
1702011572.048228,2000,0.031418148428201675
1702011708.079423,2100,0.03168836608529091
1702011782.258759,2200,0.03211960941553116
1702011855.660607,2300,0.03239685297012329
1702011929.413735,2400,0.03268038481473923
1702012003.99914,2500,0.032970063388347626
1702012078.036714,2600,0.034439027309417725
1702012152.116904,2700,0.03469156473875046
1702012226.458877,2800,0.034748826175928116
1702012300.383235,2900,0.03481899946928024
1702012374.345077,3000,0.03493577986955643
1702012508.779989,3100,0.035085223615169525
1702012583.033753,3200,0.03525800257921219
1702012657.041066,3300,0.03546660393476486
1702012731.300265,3400,0.03567139059305191
1702012805.547873,3500,0.035908304154872894
1702012879.566775,3600,0.036086197942495346
1702012953.961025,3700,0.036330655217170715
1702013027.932333,3800,0.03652694448828697
1702013102.328107,3900,0.036772824823856354
1702015459.416622,4000,0.03699152544140816
1702015536.793789,4100,0.037252288311719894
1702015611.822022,4200,0.03750903904438019
1702015713.829597,4300,0.03786347061395645
1702015789.240236,4400,0.0380280427634716
1702015864.417158,4500,0.03818275034427643
1702015939.806335,4600,0.03836462274193764
1702016015.041288,4700,0.038647279143333435
1702016090.479764,4800,0.03884577006101608
1702016166.038619,4900,0.03901728242635727
1702016241.452679,5000,0.0391726940870285
1702016343.971295,5100,0.039402611553668976
1702016419.552265,5200,0.039622098207473755
1702016494.924855,5300,0.03981349989771843
1702016570.863976,5400,0.040017370134592056
1702016646.441142,5500,0.04022973030805588
1702016721.787194,5600,0.04038390517234802
1702016796.424923,5700,0.04060991480946541
1702016870.675962,5800,0.040795255452394485
1702016945.510507,5900,0.0409669503569603
1702017019.743412,6000,0.041100453585386276
1702017122.951183,6100,0.041346073150634766
1702017197.681294,6200,0.04158720746636391
1702017272.314162,6300,0.041773539036512375
1702017346.894746,6400,0.04197743162512779
1702017421.570015,6500,0.04222870245575905
1702017496.250179,6600,0.04251588135957718
1702017570.975404,6700,0.04269880801439285
1702017643.667171,6800,0.0429404117166996
1702017714.908214,6900,0.04319092631340027
1702017786.355546,7000,0.043378449976444244
1702017886.226184,7100,0.04356607049703598
1702017960.577032,7200,0.0437120757997036
1702018035.03947,7300,0.04393628239631653
1702018109.777652,7400,0.04413961246609688
1702018181.06227,7500,0.0443081296980381
1702018255.413771,7600,0.04446592554450035
1702018330.445048,7700,0.0447227768599987
1702018405.064406,7800,0.04490780830383301
1702018670.919522,7900,0.04504510760307312
1702018803.567915,8000,0.04522715508937836
1702019150.200046,8100,0.04545000568032265
1702019215.275133,8200,0.04563409090042114
1702019280.39853,8300,0.045853909105062485
1702019346.007592,8400,0.04602158069610596
1702019411.33448,8500,0.046124666929244995
1702019476.481336,8600,0.046337030827999115
1702019541.973017,8700,0.04648921638727188
1702019607.462646,8800,0.046649325639009476
1702019673.028865,8900,0.04679353907704353
1702019738.45176,9000,0.04696084186434746
1702020089.618221,9100,0.047246117144823074
1702020154.735578,9200,0.047400735318660736
1702020228.82317,9300,0.04772583395242691
1702020294.328913,9400,0.04785672202706337
1702020359.415917,9500,0.048069067299366
1702020424.482203,9600,0.04830078035593033
1702020489.509511,9700,0.04845143482089043
1702020554.536895,9800,0.04871468245983124
1702020619.584235,9900,0.04883182793855667
1702020684.620411,10000,0.049064166843891144
1702021028.041076,10100,0.04933612793684006
1702021093.277691,10200,0.049486711621284485
1702021158.251265,10300,0.049656566232442856
1702021223.328922,10400,0.04993331432342529
1702021288.475592,10500,0.050087232142686844
1702021353.565619,10600,0.0504252053797245
1702021418.675962,10700,0.050623927265405655
1702021483.732103,10800,0.050735972821712494
1702021549.121548,10900,0.05079363286495209
1702021614.43435,11000,0.05090022459626198
1702021964.694007,11100,0.051001161336898804
1702022029.769795,11200,0.05106225237250328
1702022094.917113,11300,0.051144178956747055
1702022160.539499,11400,0.05122198536992073
1702022227.894352,11500,0.05133001506328583
1702022293.079127,11600,0.05141667276620865
1702022358.423976,11700,0.05149947851896286
1702022423.896754,11800,0.05170317739248276
1702022489.511604,11900,0.051954515278339386
1702022555.261749,12000,0.05210662633180618
1702022925.350904,12100,0.05226927250623703
1702022991.515575,12200,0.05238228291273117
1702023062.255371,12300,0.052454955875873566
1702023128.619327,12400,0.05250156670808792
1702023194.858055,12500,0.052606627345085144
1702023261.280892,12600,0.05281323567032814
1702023327.55622,12700,0.05299743637442589
1702023394.057848,12800,0.053385451436042786
1702023461.268206,12900,0.053559381514787674
1702023531.620584,13000,0.05379517003893852
1702023815.844055,13100,0.05386916920542717
1702023889.015118,13200,0.053955260664224625
1702023962.833347,13300,0.05406602844595909
1702024036.113915,13400,0.05421124026179314
1702024109.335997,13500,0.05430610477924347
1702024182.745975,13600,0.054358817636966705
1702024256.62582,13700,0.05452335998415947
1702024330.810194,13800,0.054558414965867996
1702024404.179693,13900,0.05461154878139496
1702024477.924433,14000,0.05475572124123573
1702024775.531523,14100,0.0549386702477932
1702024848.877233,14200,0.055111419409513474
1702024922.532544,14300,0.05525485798716545
1702024996.394668,14400,0.05530807375907898
1702025070.176068,14500,0.05536723881959915
1702025143.83789,14600,0.055583447217941284
1702025217.856747,14700,0.0556914247572422
1702025292.136463,14800,0.05571962893009186
1702025366.135937,14900,0.05573226511478424
1702025440.534713,15000,0.05577429383993149
1702025725.848414,15100,0.05579548701643944
1702025799.920242,15200,0.0558435395359993
1702025874.047552,15300,0.055871378630399704
1702025949.106331,15400,0.05592908337712288
1702026023.813903,15500,0.056105658411979675
1702026098.12229,15600,0.05623861402273178
1702026172.559086,15700,0.05641549080610275
1702026246.655979,15800,0.05647873133420944
1702026320.145538,15900,0.05661597102880478
1702026393.97269,16000,0.0566704124212265
1702026683.025913,16100,0.056750476360321045
