Wall time,Step,Value
1702081615.1035,100,0.0041600000113248825
1702081762.840343,200,0.007320000324398279
1702081832.620705,300,0.010480000637471676
1702081902.390496,400,0.013640000484883785
1702081972.021665,500,0.01680000126361847
1702082049.874571,600,0.01996000111103058
1702082176.716172,700,0.023120000958442688
1702082248.027944,800,0.026280000805854797
1702082317.881485,900,0.029440000653266907
1702082387.610973,1000,0.032600000500679016
1702082519.084955,1100,0.035760000348091125
1702082592.821835,1200,0.038920000195503235
1702082662.414819,1300,0.042080000042915344
1702082731.961828,1400,0.045239999890327454
1702082801.661001,1500,0.04839999973773956
1702082871.302565,1600,0.05155999958515167
1702082940.932401,1700,0.05471999943256378
1702083010.564829,1800,0.05787999927997589
1702083080.224437,1900,0.061039999127388
1702083149.993106,2000,0.0642000064253807
1702083280.122365,2100,0.06736000627279282
1702083349.766052,2200,0.07052000612020493
1702083419.40367,2300,0.07368000596761703
1702083489.072258,2400,0.07684000581502914
1702083558.779604,2500,0.07999999821186066
1702083628.483569,2600,0.07999997586011887
1702083698.104762,2700,0.0799999088048935
1702083767.773099,2800,0.07999979704618454
1702083837.425314,2900,0.079999640583992
1702083907.093506,3000,0.07999943941831589
1702084036.931882,3100,0.07999919354915619
1702084106.515041,3200,0.07999890297651291
1702084176.121265,3300,0.07999856770038605
1702084245.804217,3400,0.0799981877207756
1702084315.588713,3500,0.07999776303768158
1702084385.237795,3600,0.07999730110168457
1702084454.941867,3700,0.07999678701162338
1702084524.597951,3800,0.07999622821807861
1702084594.3498,3900,0.07999563217163086
1702084664.052869,4000,0.07999498397111893
1702084794.295667,4100,0.07999428361654282
1702084863.974697,4200,0.07999355345964432
1702085074.355646,4300,0.07999277114868164
1702085144.279478,4400,0.07999195158481598
1702085214.072526,4500,0.07999107986688614
1702085283.758884,4600,0.07999016344547272
1702085353.562245,4700,0.07998920232057571
1702085423.325799,4800,0.07998820394277573
1702085492.975805,4900,0.07998715341091156
1702085562.699551,5000,0.07998605817556381
1702085694.053874,5100,0.07998491823673248
1702085763.698784,5200,0.07998374104499817
1702085833.287919,5300,0.07998251914978027
1702085902.893106,5400,0.0799812451004982
1702085972.640258,5500,0.07997992634773254
1702086042.26559,5600,0.0799785703420639
1702086111.917617,5700,0.07997716218233109
1702086181.641227,5800,0.07997570931911469
1702086251.33726,5900,0.0799742192029953
1702086321.030762,6000,0.07997267693281174
1702086451.189478,6100,0.07997109740972519
1702086520.862295,6200,0.07996947318315506
1702086590.507445,6300,0.07996779680252075
1702086660.209846,6400,0.07996608316898346
1702086729.869742,6500,0.07996432483196259
1702086799.487197,6600,0.07996251434087753
1702086869.145852,6700,0.0799606665968895
1702086938.784718,6800,0.07995877414941788
1702087008.390997,6900,0.07995682209730148
1702087078.086104,7000,0.0799548402428627
1702087208.658662,7100,0.07995281368494034
1702087278.298153,7200,0.0799507424235344
1702087348.230004,7300,0.07994862645864487
1702087417.866649,7400,0.07994645833969116
1702087487.601198,7500,0.07994425296783447
1702087557.953252,7600,0.0799420028924942
1702087627.640937,7700,0.07993970811367035
1702087697.442143,7800,0.07993736863136292
1702087767.22792,7900,0.0799349844455719
1702087836.873685,8000,0.0799325555562973
