Wall time,Step,Value
1701988990.669183,100,1.1633522510528564
1701989065.98712,200,0.8886739015579224
1701989142.712514,300,0.8713531494140625
1701989255.122713,400,0.6186596751213074
1701989451.455787,500,0.5571366548538208
1701989527.236297,600,0.51070636510849
1701989602.520145,700,0.6091651320457458
1701989677.317958,800,0.43297624588012695
1701989752.475764,900,0.32668814063072205
1701989827.644989,1000,0.454892635345459
1701990065.478119,1100,0.41790294647216797
1701990140.825363,1200,0.35192883014678955
1701990216.253002,1300,0.44089844822883606
1701990291.847133,1400,0.432752400636673
1701990367.580779,1500,0.459672749042511
1701990443.011832,1600,0.4992510676383972
1701990518.836437,1700,0.5246615409851074
1701990593.919782,1800,0.420234352350235
1701990669.300366,1900,0.3399113714694977
1701990744.898325,2000,0.3402964174747467
1701990983.717892,2100,0.32985296845436096
1701991058.983584,2200,0.42920294404029846
1701991134.297521,2300,0.31823617219924927
1701991209.182733,2400,0.2831938564777374
1701991283.959247,2500,0.3778054714202881
1701991360.069026,2600,0.3647692799568176
1701991435.446233,2700,0.3104657232761383
1701991511.050367,2800,0.3332984447479248
1701991586.313238,2900,0.3052479922771454
1701991661.906301,3000,0.49394991993904114
1701991901.307615,3100,0.2805374264717102
1701991976.761601,3200,0.32388564944267273
1701992051.969391,3300,0.339518278837204
1701992127.405876,3400,0.32681968808174133
1701992202.478492,3500,0.4052426517009735
1701992278.348458,3600,0.3056876063346863
1701992354.378319,3700,0.4503958225250244
1701992429.794515,3800,0.348881334066391
1701992505.3515,3900,0.34949344396591187
1701992580.326618,4000,0.22402234375476837
1701992809.658377,4100,0.2473013997077942
1701992881.425164,4200,0.3399331867694855
1701992953.112965,4300,0.3052026033401489
1701993024.463636,4400,0.2661544382572174
1701993095.945439,4500,0.31561461091041565
1701993167.545332,4600,0.3073557913303375
1701993239.092023,4700,0.3287312686443329
1701993310.627522,4800,0.27948009967803955
1701993382.299554,4900,0.17112481594085693
1701993453.691471,5000,0.3562815487384796
1701993796.954886,5100,0.4621565639972687
1701993862.923655,5200,0.2917611598968506
1701993928.900675,5300,0.32912030816078186
1701993994.9162,5400,0.17771250009536743
1701994060.868488,5500,0.31120985746383667
1701994126.797818,5600,0.3466743230819702
1701994192.736243,5700,0.2103738784790039
1701994258.729624,5800,0.4124619662761688
1701994324.710531,5900,0.18853642046451569
1701994390.716169,6000,0.557874321937561
1701994594.837127,6100,0.22889147698879242
1701994660.73925,6200,0.25453394651412964
1701994726.707063,6300,0.36276426911354065
1701994792.674158,6400,0.2555820643901825
1701994858.637277,6500,0.21393601596355438
1701994924.645008,6600,0.3672943711280823
1701994990.526957,6700,0.3904206156730652
1701995056.448876,6800,0.21211384236812592
1701995122.319423,6900,0.2897729277610779
1701995188.307696,7000,0.3365801274776459
1701995394.685179,7100,0.19457344710826874
1701995460.624246,7200,0.33283787965774536
1701995526.851169,7300,0.2731002867221832
1701995592.941673,7400,0.23796182870864868
1701995658.899157,7500,0.2831000089645386
1701995724.906122,7600,0.3044990599155426
1701995790.838941,7700,0.21817509829998016
1701995856.836572,7800,0.337439626455307
1701995922.772594,7900,0.16003364324569702
1701995988.759689,8000,0.17942437529563904
1701996192.871245,8100,0.1800578236579895
1701996258.81656,8200,0.24961794912815094
1701996324.656376,8300,0.21654099225997925
1701996390.551313,8400,0.19907104969024658
1701996456.473735,8500,0.2708137631416321
1701996522.404515,8600,0.22781045734882355
1701996588.29902,8700,0.20900288224220276
1701996654.1981,8800,0.24327948689460754
1701996720.171953,8900,0.27495065331459045
1701996786.055189,9000,0.43771347403526306
1701996988.505753,9100,0.2370581179857254
1701997054.38001,9200,0.2179563194513321
1701997120.296582,9300,0.4057338237762451
1701997186.239845,9400,0.23750348389148712
1701997252.186043,9500,0.2015383392572403
1701997318.084599,9600,0.22763699293136597
1701997385.406735,9700,0.3139932155609131
1701997451.695732,9800,0.2392846941947937
1701997517.714501,9900,0.15743818879127502
1701997583.716639,10000,0.2791973948478699
1701997785.235569,10100,0.2275036871433258
1701997851.220982,10200,0.34077438712120056
1701997917.208982,10300,0.3031654357910156
1701997983.196569,10400,0.183910071849823
1701998049.210708,10500,0.21522635221481323
1701998115.209592,10600,0.2574904263019562
1701998181.173024,10700,0.24684885144233704
1701998247.099492,10800,0.17464786767959595
1701998313.09679,10900,0.19367656111717224
1701998379.099768,11000,0.34324637055397034
1701998582.845329,11100,0.29291990399360657
1701998648.76731,11200,0.20460954308509827
1701998714.746577,11300,0.26136842370033264
1701998780.711789,11400,0.35684269666671753
1701998846.647551,11500,0.2249048352241516
1701998912.681272,11600,0.26260000467300415
1701998978.646182,11700,0.16960091888904572
1701999044.65887,11800,0.3211957812309265
1701999110.562415,11900,0.21723033487796783
1701999176.56178,12000,0.19060161709785461
1701999383.271228,12100,0.22552074491977692
1701999449.247223,12200,0.22060847282409668
1701999515.218928,12300,0.2163201868534088
1701999581.21086,12400,0.3465069532394409
1701999647.266013,12500,0.1986577808856964
1701999713.215498,12600,0.2012370377779007
1701999779.185758,12700,0.25068822503089905
1701999845.158159,12800,0.19389566779136658
1701999911.071639,12900,0.3595738410949707
1701999977.193402,13000,0.17590321600437164
1702000180.454267,13100,0.21223081648349762
1702000246.42977,13200,0.22656816244125366
1702000312.389743,13300,0.2647952437400818
1702000378.361789,13400,0.13757409155368805
1702000444.342669,13500,0.35603100061416626
1702000510.257485,13600,0.3110114634037018
1702000576.15218,13700,0.24647881090641022
1702000642.079326,13800,0.17873652279376984
1702000708.498924,13900,0.1491086781024933
1702000775.066124,14000,0.21678206324577332
